driver_name,driverId,dob,nationality,dob_formatted,raceId,grid,results_position,positionText,positionOrder,total_results_points,results_laps,fastestLap,rank,race_time,results_fastestlaptime,fastestLapSpeed,statusId,status,year,round,circuitId,races_name,date,dstnd_points,dstnd_position,wins,driver_country,race_country,avg_lap_time,winner_name,win_ratio
Lewis Hamilton,1,1/7/1985,British,1985,34.0,1.0,1.0,1,1.0,10.0,56.0,13.0,1.0,5517403.0,01:36.3,203.722,1.0,Finished,2008,17.0,17.0,Chinese Grand Prix,2008-10-19,94.0,1.0,5.0,Unitied Kingdom,China,98525.05357142857,Lewis Hamilton,5.0
Lewis Hamilton,1,1/7/1985,British,1985,35.0,4.0,5.0,5,5.0,4.0,71.0,31.0,4.0,5690342.0,01:14.2,209.177,1.0,Finished,2008,18.0,18.0,Brazilian Grand Prix,2008-11-02,98.0,1.0,5.0,Unitied Kingdom,Brazil,80145.66197183098,N/A,5.0
Lewis Hamilton,1,1/7/1985,British,1985,36.0,4.0,3.0,3,3.0,6.0,58.0,20.0,3.0,5147365.0,01:26.4,221.083,1.0,Finished,2007,1.0,1.0,Australian Grand Prix,2007-03-18,6.0,3.0,0.0,Unitied Kingdom,Australia,88747.6724137931,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,37.0,4.0,2.0,2,2.0,8.0,56.0,22.0,1.0,5552487.0,01:36.7,206.355,1.0,Finished,2007,2.0,2.0,Malaysian Grand Prix,2007-04-08,14.0,3.0,0.0,Unitied Kingdom,Malaysia,99151.55357142857,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,38.0,2.0,2.0,2,2.0,8.0,57.0,18.0,2.0,5609875.0,01:34.3,206.674,1.0,Finished,2007,3.0,3.0,Bahrain Grand Prix,2007-04-15,22.0,3.0,0.0,Unitied Kingdom,Bahrain,98418.85964912281,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,39.0,4.0,2.0,2,2.0,8.0,65.0,20.0,2.0,5503020.0,01:22.9,202.205,1.0,Finished,2007,4.0,4.0,Spanish Grand Prix,2007-05-13,30.0,1.0,0.0,Unitied Kingdom,Spain,84661.84615384616,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,40.0,2.0,2.0,2,2.0,8.0,78.0,28.0,2.0,6033424.0,01:15.4,159.528,1.0,Finished,2007,5.0,6.0,Monaco Grand Prix,2007-05-27,38.0,2.0,0.0,Unitied Kingdom,Monaco,77351.58974358975,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,41.0,1.0,1.0,1,1.0,10.0,70.0,37.0,2.0,6251292.0,01:16.5,205.239,1.0,Finished,2007,6.0,7.0,Canadian Grand Prix,2007-06-10,48.0,1.0,1.0,Unitied Kingdom,Canada,89304.17142857143,Lewis Hamilton,1.0
Lewis Hamilton,1,1/7/1985,British,1985,42.0,1.0,1.0,1,1.0,10.0,73.0,20.0,2.0,5469965.0,01:13.2,206.101,1.0,Finished,2007,7.0,19.0,United States Grand Prix,2007-06-17,58.0,1.0,2.0,Unitied Kingdom,United States,74931.02739726027,Lewis Hamilton,2.0
Lewis Hamilton,1,1/7/1985,British,1985,43.0,2.0,3.0,3,3.0,6.0,70.0,39.0,4.0,5486353.0,01:16.6,207.34,1.0,Finished,2007,8.0,8.0,French Grand Prix,2007-07-01,64.0,1.0,2.0,Unitied Kingdom,France,78376.47142857143,N/A,2.0
Lewis Hamilton,1,1/7/1985,British,1985,44.0,1.0,3.0,3,3.0,6.0,59.0,11.0,4.0,4942447.0,01:21.7,226.6,1.0,Finished,2007,9.0,9.0,British Grand Prix,2007-07-08,70.0,1.0,2.0,Unitied Kingdom,United Kingdom,83770.28813559322,N/A,2.0
Lewis Hamilton,1,1/7/1985,British,1985,46.0,1.0,1.0,1,1.0,10.0,70.0,13.0,2.0,5752991.0,01:20.2,196.724,1.0,Finished,2007,11.0,11.0,Hungarian Grand Prix,2007-08-05,80.0,1.0,3.0,Unitied Kingdom,Hungary,82185.58571428571,Lewis Hamilton,3.0
Lewis Hamilton,1,1/7/1985,British,1985,47.0,2.0,5.0,5,5.0,4.0,58.0,17.0,3.0,5247246.0,01:28.0,218.464,1.0,Finished,2007,12.0,5.0,Turkish Grand Prix,2007-08-26,84.0,1.0,3.0,Unitied Kingdom,Turkey,90469.75862068965,N/A,3.0
Lewis Hamilton,1,1/7/1985,British,1985,48.0,2.0,2.0,2,2.0,8.0,53.0,17.0,2.0,4723868.0,01:22.9,251.456,1.0,Finished,2007,13.0,14.0,Italian Grand Prix,2007-09-09,92.0,1.0,3.0,Unitied Kingdom,Italy,89129.58490566038,N/A,3.0
Lewis Hamilton,1,1/7/1985,British,1985,49.0,4.0,4.0,4,4.0,5.0,44.0,41.0,4.0,4862681.0,01:48.2,233.002,1.0,Finished,2007,14.0,13.0,Belgian Grand Prix,2007-09-16,97.0,1.0,3.0,Unitied Kingdom,Belgium,110515.47727272728,N/A,3.0
Lewis Hamilton,1,1/7/1985,British,1985,50.0,1.0,1.0,1,1.0,10.0,67.0,27.0,1.0,7234579.0,01:28.2,186.259,1.0,Finished,2007,15.0,16.0,Japanese Grand Prix,2007-09-30,107.0,1.0,4.0,Unitied Kingdom,Japan,107978.79104477612,Lewis Hamilton,4.0
Lewis Hamilton,1,1/7/1985,British,1985,337.0,4.0,3.0,3,3.0,15.0,49.0,42.0,4.0,5983578.0,01:59.6,189.665,1.0,Finished,2010,1.0,3.0,Bahrain Grand Prix,2010-03-14,15.0,3.0,0.0,Unitied Kingdom,Bahrain,122113.83673469388,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,338.0,11.0,6.0,6,6.0,8.0,58.0,47.0,3.0,5646429.0,01:28.5,215.7,1.0,Finished,2010,2.0,1.0,Australian Grand Prix,2010-03-28,23.0,4.0,0.0,Unitied Kingdom,Australia,97352.22413793103,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,339.0,20.0,6.0,6,6.0,8.0,56.0,32.0,4.0,5651883.0,01:37.7,204.151,1.0,Finished,2010,3.0,2.0,Malaysian Grand Prix,2010-04-04,31.0,6.0,0.0,Unitied Kingdom,Malaysia,100926.48214285714,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,340.0,6.0,2.0,2,2.0,18.0,56.0,13.0,1.0,6403693.0,01:42.1,192.273,1.0,Finished,2010,4.0,17.0,Chinese Grand Prix,2010-04-18,49.0,4.0,0.0,Unitied Kingdom,China,114351.66071428571,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,342.0,5.0,5.0,5,5.0,10.0,78.0,68.0,10.0,6617718.0,01:16.2,157.755,1.0,Finished,2010,6.0,6.0,Monaco Grand Prix,2010-05-16,59.0,7.0,0.0,Unitied Kingdom,Monaco,84842.53846153847,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,343.0,2.0,1.0,1,1.0,25.0,58.0,54.0,12.0,5327620.0,01:30.1,213.342,1.0,Finished,2010,7.0,5.0,Turkish Grand Prix,2010-05-30,84.0,3.0,1.0,Unitied Kingdom,Turkey,91855.5172413793,Lewis Hamilton,0.3333333333333333
Lewis Hamilton,1,1/7/1985,British,1985,344.0,1.0,1.0,1,1.0,25.0,70.0,62.0,2.0,5633456.0,01:17.8,201.778,1.0,Finished,2010,8.0,7.0,Canadian Grand Prix,2010-06-13,109.0,1.0,2.0,Unitied Kingdom,Canada,80477.94285714286,Lewis Hamilton,2.0
Lewis Hamilton,1,1/7/1985,British,1985,345.0,3.0,2.0,2,2.0,18.0,57.0,56.0,4.0,6034613.0,01:39.2,196.744,1.0,Finished,2010,9.0,12.0,European Grand Prix,2010-06-27,127.0,1.0,2.0,Unitied Kingdom,Europe,105870.40350877192,N/A,2.0
Lewis Hamilton,1,1/7/1985,British,1985,346.0,4.0,2.0,2,2.0,18.0,52.0,43.0,6.0,5079560.0,01:32.8,228.633,1.0,Finished,2010,10.0,9.0,British Grand Prix,2010-07-11,145.0,1.0,2.0,Unitied Kingdom,United Kingdom,97683.84615384616,N/A,2.0
Lewis Hamilton,1,1/7/1985,British,1985,347.0,6.0,4.0,4,4.0,12.0,67.0,65.0,5.0,5285760.0,01:16.5,215.238,1.0,Finished,2010,11.0,10.0,German Grand Prix,2010-07-25,157.0,1.0,2.0,Unitied Kingdom,Germany,78891.94029850746,N/A,2.0
Lewis Hamilton,1,1/7/1985,British,1985,349.0,2.0,1.0,1,1.0,25.0,44.0,32.0,1.0,5344268.0,01:49.1,231.178,1.0,Finished,2010,13.0,13.0,Belgian Grand Prix,2010-08-29,182.0,1.0,3.0,Unitied Kingdom,Belgium,121460.63636363637,Lewis Hamilton,3.0
Lewis Hamilton,1,1/7/1985,British,1985,352.0,8.0,5.0,5,5.0,10.0,53.0,35.0,9.0,5466918.0,01:35.2,219.633,1.0,Finished,2010,16.0,22.0,Japanese Grand Prix,2010-10-10,192.0,4.0,3.0,Unitied Kingdom,Japan,103149.39622641509,N/A,0.75
Lewis Hamilton,1,1/7/1985,British,1985,353.0,4.0,2.0,2,2.0,18.0,55.0,42.0,3.0,10115809.0,01:50.4,183.048,1.0,Finished,2010,17.0,35.0,Korean Grand Prix,2010-10-24,210.0,3.0,3.0,Unitied Kingdom,South Korea,183923.8,N/A,1.0
Lewis Hamilton,1,1/7/1985,British,1985,354.0,4.0,4.0,4,4.0,12.0,71.0,66.0,1.0,5606437.0,01:13.9,210.049,1.0,Finished,2010,18.0,18.0,Brazilian Grand Prix,2010-11-07,222.0,4.0,3.0,Unitied Kingdom,Brazil,78963.9014084507,N/A,0.75
Lewis Hamilton,1,1/7/1985,British,1985,355.0,2.0,2.0,2,2.0,18.0,55.0,47.0,1.0,5986999.0,01:41.3,197.428,1.0,Finished,2010,19.0,24.0,Abu Dhabi Grand Prix,2010-11-14,240.0,4.0,3.0,Unitied Kingdom,United Arab Emirates,108854.52727272727,N/A,0.75
Lewis Hamilton,1,1/7/1985,British,1985,841.0,2.0,2.0,2,2.0,18.0,58.0,41.0,8.0,5392556.0,01:30.3,211.382,1.0,Finished,2011,1.0,1.0,Australian Grand Prix,2011-03-27,18.0,2.0,0.0,Unitied Kingdom,Australia,92975.10344827586,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,842.0,2.0,8.0,8,8.0,4.0,56.0,54.0,5.0,5929789.0,01:41.5,196.575,1.0,Finished,2011,2.0,2.0,Malaysian Grand Prix,2011-04-10,22.0,3.0,0.0,Unitied Kingdom,Malaysia,105531.94642857143,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,843.0,3.0,1.0,1,1.0,25.0,56.0,48.0,2.0,5818226.0,01:40.4,195.424,1.0,Finished,2011,3.0,17.0,Chinese Grand Prix,2011-04-17,47.0,2.0,1.0,Unitied Kingdom,China,103896.89285714286,Lewis Hamilton,0.5
Lewis Hamilton,1,1/7/1985,British,1985,844.0,4.0,4.0,4,4.0,12.0,58.0,48.0,4.0,5457790.0,01:30.1,213.264,1.0,Finished,2011,4.0,5.0,Turkish Grand Prix,2011-05-08,59.0,2.0,1.0,Unitied Kingdom,Turkey,94099.8275862069,N/A,0.5
Lewis Hamilton,1,1/7/1985,British,1985,845.0,3.0,2.0,2,2.0,18.0,66.0,52.0,1.0,5943931.0,01:26.7,193.227,1.0,Finished,2011,5.0,4.0,Spanish Grand Prix,2011-05-22,77.0,2.0,1.0,Unitied Kingdom,Spain,90059.56060606061,N/A,0.5
Lewis Hamilton,1,1/7/1985,British,1985,846.0,9.0,6.0,6,6.0,8.0,78.0,54.0,5.0,7805583.0,01:17.8,154.456,1.0,Finished,2011,6.0,6.0,Monaco Grand Prix,2011-05-29,85.0,2.0,1.0,Unitied Kingdom,Monaco,100071.57692307692,N/A,0.5
Lewis Hamilton,1,1/7/1985,British,1985,848.0,3.0,4.0,4,4.0,12.0,57.0,47.0,6.0,6022359.0,01:42.9,189.499,1.0,Finished,2011,8.0,12.0,European Grand Prix,2011-06-26,97.0,4.0,1.0,Unitied Kingdom,Europe,105655.42105263157,N/A,0.25
Lewis Hamilton,1,1/7/1985,British,1985,849.0,10.0,4.0,4,4.0,12.0,52.0,39.0,5.0,5350182.0,01:36.2,220.499,1.0,Finished,2011,9.0,9.0,British Grand Prix,2011-07-10,109.0,4.0,1.0,Unitied Kingdom,United Kingdom,102888.11538461539,N/A,0.25
Lewis Hamilton,1,1/7/1985,British,1985,850.0,2.0,1.0,1,1.0,25.0,60.0,59.0,1.0,5850334.0,01:34.3,196.526,1.0,Finished,2011,10.0,20.0,German Grand Prix,2011-07-24,134.0,3.0,2.0,Unitied Kingdom,Germany,97505.56666666667,Lewis Hamilton,0.6666666666666666
Lewis Hamilton,1,1/7/1985,British,1985,851.0,2.0,4.0,4,4.0,12.0,70.0,61.0,2.0,6450675.0,01:23.7,188.517,1.0,Finished,2011,11.0,11.0,Hungarian Grand Prix,2011-07-31,146.0,3.0,2.0,Unitied Kingdom,Hungary,92152.5,N/A,0.6666666666666666
Lewis Hamilton,1,1/7/1985,British,1985,853.0,2.0,4.0,4,4.0,12.0,53.0,52.0,1.0,4863589.0,01:26.2,241.971,1.0,Finished,2011,13.0,14.0,Italian Grand Prix,2011-09-11,158.0,5.0,2.0,Unitied Kingdom,Italy,91765.83018867925,N/A,0.4
Lewis Hamilton,1,1/7/1985,British,1985,854.0,4.0,5.0,5,5.0,10.0,61.0,54.0,4.0,7214523.0,01:50.8,164.779,1.0,Finished,2011,14.0,15.0,Singapore Grand Prix,2011-09-25,168.0,5.0,2.0,Unitied Kingdom,Singapore,118270.86885245901,N/A,0.4
Lewis Hamilton,1,1/7/1985,British,1985,855.0,3.0,5.0,5,5.0,10.0,53.0,49.0,9.0,5477695.0,01:37.6,214.093,1.0,Finished,2011,15.0,22.0,Japanese Grand Prix,2011-10-09,178.0,5.0,2.0,Unitied Kingdom,Japan,103352.7358490566,N/A,0.4
Lewis Hamilton,1,1/7/1985,British,1985,856.0,1.0,2.0,2,2.0,18.0,55.0,54.0,3.0,5894013.0,01:40.5,201.216,1.0,Finished,2011,16.0,35.0,Korean Grand Prix,2011-10-16,196.0,5.0,2.0,Unitied Kingdom,South Korea,107163.87272727273,N/A,0.4
Lewis Hamilton,1,1/7/1985,British,1985,857.0,5.0,7.0,7,7.0,6.0,60.0,58.0,9.0,5519185.0,01:28.7,207.955,1.0,Finished,2011,17.0,68.0,Indian Grand Prix,2011-10-30,202.0,5.0,2.0,Unitied Kingdom,India,91986.41666666667,N/A,0.4
Lewis Hamilton,1,1/7/1985,British,1985,858.0,2.0,1.0,1,1.0,25.0,55.0,51.0,3.0,5831886.0,01:43.5,193.255,1.0,Finished,2011,18.0,24.0,Abu Dhabi Grand Prix,2011-11-13,227.0,5.0,3.0,Unitied Kingdom,United Arab Emirates,106034.29090909091,Lewis Hamilton,0.6
Lewis Hamilton,1,1/7/1985,British,1985,860.0,1.0,3.0,3,3.0,15.0,58.0,57.0,4.0,5653640.0,01:29.5,213.214,1.0,Finished,2012,1.0,1.0,Australian Grand Prix,2012-03-18,15.0,3.0,0.0,Unitied Kingdom,Australia,97476.55172413793,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,861.0,1.0,3.0,3,3.0,15.0,56.0,50.0,6.0,9906403.0,01:41.5,196.523,1.0,Finished,2012,2.0,2.0,Malaysian Grand Prix,2012-03-25,30.0,2.0,0.0,Unitied Kingdom,Malaysia,176900.05357142858,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,862.0,7.0,3.0,3,3.0,15.0,56.0,40.0,6.0,5812941.0,01:40.5,195.201,1.0,Finished,2012,3.0,17.0,Chinese Grand Prix,2012-04-15,45.0,1.0,0.0,Unitied Kingdom,China,103802.51785714286,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,863.0,2.0,8.0,8,8.0,4.0,57.0,38.0,7.0,5769974.0,01:37.7,199.351,1.0,Finished,2012,4.0,3.0,Bahrain Grand Prix,2012-04-22,49.0,2.0,0.0,Unitied Kingdom,Bahrain,101227.61403508772,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,864.0,24.0,8.0,8,8.0,4.0,66.0,50.0,18.0,6027285.0,01:28.9,188.465,1.0,Finished,2012,5.0,4.0,Spanish Grand Prix,2012-05-13,53.0,3.0,0.0,Unitied Kingdom,Spain,91322.5,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,865.0,3.0,5.0,5,5.0,10.0,78.0,46.0,4.0,6370658.0,01:18.8,152.577,1.0,Finished,2012,6.0,6.0,Monaco Grand Prix,2012-05-27,63.0,4.0,0.0,Unitied Kingdom,Monaco,81675.10256410256,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,866.0,2.0,1.0,1,1.0,25.0,70.0,59.0,6.0,5549586.0,01:17.0,203.837,1.0,Finished,2012,7.0,7.0,Canadian Grand Prix,2012-06-10,88.0,1.0,1.0,Unitied Kingdom,Canada,79279.8,Lewis Hamilton,1.0
Lewis Hamilton,1,1/7/1985,British,1985,868.0,8.0,8.0,8,8.0,4.0,52.0,44.0,15.0,5147751.0,01:36.2,220.515,1.0,Finished,2012,9.0,9.0,British Grand Prix,2012-07-08,92.0,4.0,1.0,Unitied Kingdom,United Kingdom,98995.21153846153,N/A,0.25
Lewis Hamilton,1,1/7/1985,British,1985,870.0,1.0,1.0,1,1.0,25.0,69.0,65.0,4.0,6065503.0,01:25.7,184.082,1.0,Finished,2012,11.0,11.0,Hungarian Grand Prix,2012-07-29,117.0,4.0,2.0,Unitied Kingdom,Hungary,87905.84057971014,Lewis Hamilton,0.5
Lewis Hamilton,1,1/7/1985,British,1985,872.0,1.0,1.0,1,1.0,25.0,53.0,52.0,5.0,4781221.0,01:28.4,235.841,1.0,Finished,2012,13.0,14.0,Italian Grand Prix,2012-09-09,142.0,2.0,3.0,Unitied Kingdom,Italy,90211.71698113208,Lewis Hamilton,1.5
Lewis Hamilton,1,1/7/1985,British,1985,874.0,9.0,5.0,5,5.0,10.0,53.0,45.0,11.0,5382732.0,01:37.8,213.842,1.0,Finished,2012,15.0,22.0,Japanese Grand Prix,2012-10-07,152.0,4.0,3.0,Unitied Kingdom,Japan,101560.98113207547,N/A,0.75
Lewis Hamilton,1,1/7/1985,British,1985,875.0,3.0,10.0,10,10.0,1.0,55.0,49.0,9.0,5868343.0,01:42.7,196.785,1.0,Finished,2012,16.0,35.0,Korean Grand Prix,2012-10-14,153.0,4.0,3.0,Unitied Kingdom,South Korea,106697.14545454546,N/A,0.75
Lewis Hamilton,1,1/7/1985,British,1985,876.0,3.0,4.0,4,4.0,12.0,60.0,58.0,5.0,5484653.0,01:28.9,207.433,1.0,Finished,2012,17.0,68.0,Indian Grand Prix,2012-10-28,165.0,5.0,3.0,Unitied Kingdom,India,91410.88333333333,N/A,0.6
Lewis Hamilton,1,1/7/1985,British,1985,878.0,2.0,1.0,1,1.0,25.0,56.0,55.0,5.0,5755269.0,01:39.7,199.047,1.0,Finished,2012,19.0,69.0,United States Grand Prix,2012-11-18,190.0,4.0,4.0,Unitied Kingdom,United States,102772.66071428571,Lewis Hamilton,1.0
Lewis Hamilton,1,1/7/1985,British,1985,880.0,3.0,5.0,5,5.0,10.0,58.0,45.0,5.0,5448786.0,01:29.8,212.689,1.0,Finished,2013,1.0,1.0,Australian Grand Prix,2013-03-17,10.0,5.0,0.0,Unitied Kingdom,Australia,93944.58620689655,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,881.0,4.0,3.0,3,3.0,15.0,56.0,32.0,10.0,5948862.0,01:41.0,197.57,1.0,Finished,2013,2.0,2.0,Malaysian Grand Prix,2013-03-24,25.0,4.0,0.0,Unitied Kingdom,Malaysia,106229.67857142857,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,882.0,1.0,3.0,3,3.0,15.0,56.0,50.0,6.0,5799267.0,01:40.0,196.273,1.0,Finished,2013,3.0,17.0,Chinese Grand Prix,2013-04-14,40.0,4.0,0.0,Unitied Kingdom,China,103558.33928571429,N/A,0.0
Lewis Hamilton,1,1/7/1985,British,1985,883.0,9.0,5.0,5,5.0,10.0,57.0,48.0,11.0,5795728.0,01:38.2,198.395,1.0,Finished,2013,4.0,3.0,Bahrain Grand Prix,2013-04-21,50.0,3.0,0.0,Unitied Kingdom,Bahrain,101679.43859649122,N/A,0.0
