driverId,driver_number,dob,nationality
432,\N,1/15/1934,Portuguese
433,\N,10/28/1919,American
434,\N,1/1/1928,American
435,\N,10/1/1928,Belgian
436,\N,1/21/1930,British
437,\N,7/6/1930,British
438,\N,7/10/1926,American
439,\N,11/18/1932,Argentine
440,\N,7/23/1935,American
441,\N,6/25/1932,British
442,\N,4/30/1910,German
443,\N,1/31/1934,Italian
444,\N,10/17/1926,Italian
445,\N,10/18/1937,German
446,\N,7/10/1932,Italian
447,\N,12/3/1932,Italian
448,\N,5/15/1926,Canadian
449,\N,1/10/1921,American
450,\N,7/1/1941,Dutch
451,\N,10/8/1920,American
452,\N,9/3/1945,American
842,10,2/7/1996,French
453,\N,11/1/1936,British
454,\N,2/14/1942,Mexican
455,\N,7/4/1926,German
456,\N,5/12/1922,British
457,\N,12/9/1936,Dutch
458,\N,6/13/1929,Dutch
459,\N,7/20/1931,British
460,\N,7/25/1936,British
461,\N,1/25/1930,Swiss
462,\N,7/29/1933,British
463,\N,12/29/1925,American
464,\N,2/2/1937,New Zealander
465,\N,1/5/1938,British
466,\N,7/28/1927,Swiss
467,\N,4/15/1923,Italian
468,\N,2/20/1937,American
469,\N,5/11/1926,British
470,\N,2/22/1938,American
471,\N,1/30/1937,South African
472,\N,5/25/1939,South African
473,\N,9/30/1937,Rhodesian
474,\N,6/1/1920,South African
475,\N,9/17/1929,British
476,\N,5/4/1928,German
477,\N,2/8/1932,British
478,\N,2/23/1928,German
479,\N,2/25/1932,British
480,\N,8/18/1934,Swiss
481,\N,12/16/1932,British
482,\N,1/12/1924,Belgian
483,\N,10/2/1921,Italian
484,\N,3/24/1923,British
485,\N,1/28/1934,Argentine
486,\N,3/15/1913,British
487,\N,7/28/1935,Italian
488,\N,6/7/1934,Swiss
489,\N,3/26/1933,Italian
490,\N,3/29/1923,British
491,\N,4/5/1920,American-Italian
492,\N,1/4/1930,Italian
493,\N,6/10/1940,Canadian
494,\N,1/12/1928,American
495,\N,11/1/1918,British
496,\N,8/10/1914,Argentine
497,\N,1/14/1934,Argentine
498,\N,10/5/1922,Argentine
499,\N,9/30/1919,Argentine
500,\N,4/2/1928,Italian
501,\N,6/29/1921,American
502,\N,8/29/1933,British
503,\N,6/4/1921,Venezuelan
504,\N,10/28/1924,Spanish
505,\N,12/2/1937,British
506,\N,5/18/1931,British
507,\N,11/29/1923,American
508,\N,2/24/1936,American
509,\N,7/16/1928,American
510,\N,10/2/1925,American
511,\N,6/2/1920,American
512,\N,4/9/1922,American
513,\N,2/10/1919,American
514,\N,11/1/1926,American
515,\N,4/4/1928,American
516,\N,4/4/1924,American
517,\N,1/19/1929,American
518,\N,5/5/1913,American
519,\N,8/31/1918,American
520,\N,1/28/1926,American
521,\N,10/15/1919,American
522,\N,9/4/1924,American
523,\N,8/12/1919,American
524,\N,12/5/1932,American
525,\N,1/28/1926,American
526,\N,3/11/1930,American
527,\N,5/28/1927,American
528,\N,3/25/1925,American
529,\N,9/12/1916,American
530,\N,12/9/1934,American
531,\N,1/16/1935,American
532,\N,11/19/1925,American
533,\N,8/19/1926,American
534,\N,6/15/1916,American
535,\N,7/4/1927,American
536,\N,8/9/1925,American
537,\N,1/6/1924,American
538,\N,3/15/1927,American
539,\N,3/11/1927,American
540,\N,4/24/1934,British
541,\N,6/16/1923,British
542,\N,12/2/1930,British
543,\N,2/19/1923,Italian
544,\N,8/8/1926,Italian
545,\N,3/17/1932,American
546,\N,3/23/1915,British
547,\N,9/20/1918,British
548,\N,12/14/1919,American
549,\N,6/6/1923,British
550,\N,2/5/1922,Belgian
551,\N,11/11/1926,Italian
552,\N,1/7/1923,French
553,\N,4/13/1926,Monegasque
554,\N,2/16/1921,French
555,\N,4/10/1914,American
556,\N,8/28/1924,American
557,\N,5/30/1926,American
558,\N,4/11/1920,American
559,\N,1/6/1926,American
560,\N,6/12/1927,American
561,\N,10/26/1915,American
562,\N,2/12/1920,American
563,\N,4/3/1923,American
564,\N,1/21/1923,American
565,\N,2/8/1920,American
566,\N,1/11/1923,American
567,\N,3/25/1938,Brazilian
568,\N,12/26/1922,Uruguayan
569,\N,10/16/1934,British
570,\N,9/4/1933,British
571,\N,6/12/1921,British
572,\N,6/13/1929,American
573,\N,7/10/1928,Argentine-Italian
574,\N,2/22/1918,American
575,\N,5/5/1932,American
576,\N,6/12/1916,American
577,\N,7/28/1924,Italian
578,\N,4/10/1929,British
579,\N,6/24/1911,Argentine
580,\N,3/21/1921,Spanish
581,\N,11/6/1931,British
582,\N,12/12/1923,Australian
583,\N,8/10/1928,Italian
584,\N,3/23/1936,American
585,\N,11/12/1916,British
586,\N,10/27/1913,Italian
587,\N,10/28/1930,British
588,\N,5/5/1932,Italian
589,\N,1899-08-03,Monegasque
590,\N,4/20/1930,British
591,\N,10/24/1924,American
592,\N,11/17/1929,American
593,\N,7/4/1918,American
594,\N,10/22/1917,American
595,\N,4/24/1933,American
596,\N,12/9/1926,American
597,\N,10/9/1928,American
598,\N,11/15/1932,American
599,\N,11/10/1926,American
600,\N,8/4/1928,Belgian
601,\N,4/16/1918,British
602,\N,2/26/1917,French
603,\N,5/6/1919,French
604,\N,4/26/1921,French
605,\N,6/24/1934,British
606,\N,10/11/1928,Spanish
607,\N,10/21/1932,Italian
608,\N,10/10/1930,Italian
609,\N,1/5/1920,French
610,\N,12/16/1920,British
611,\N,7/13/1914,American
612,\N,4/5/1922,American
613,\N,2/22/1921,American
614,\N,9/23/1930,American
615,\N,8/21/1913,American
616,\N,7/15/1928,American
617,\N,9/13/1932,British
618,\N,6/23/1927,American
619,\N,1/19/1914,British
620,\N,6/5/1928,Italian
621,\N,3/28/1929,Australian
622,\N,7/14/1907,Brazilian
623,\N,7/11/1924,Uruguayan
624,\N,12/7/1925,Brazilian
625,\N,2/28/1914,French
626,\N,4/12/1917,French
627,\N,11/5/1905,French
628,\N,5/20/1926,American
629,\N,2/6/1916,American
630,\N,4/10/1913,American
631,\N,6/15/1920,American
632,\N,1/30/1917,Belgian
633,\N,5/16/1909,Italian
634,\N,11/11/1909,Italian
635,\N,5/19/1928,British
636,\N,5/1/1928,British
637,\N,5/13/1927,British
638,\N,12/7/1917,Swiss
639,\N,12/9/1928,Belgian
640,\N,5/18/1914,Swiss
641,\N,10/12/1906,Italian
642,\N,10/30/1906,Italian
643,\N,12/3/1924,Argentine
644,\N,5/22/1929,Italian
645,\N,9/4/1920,Argentine
646,\N,2/22/1922,Argentine
647,\N,7/13/1918,Italian
648,\N,9/16/1910,German
649,\N,1/7/1924,Argentine
650,\N,7/2/1922,French
651,\N,9/2/1919,British
652,\N,11/1/1928,British
653,\N,8/8/1929,American
654,\N,2/16/1920,American
655,\N,4/29/1914,American
656,\N,1/24/1918,American
657,\N,12/13/1918,American
658,\N,10/8/1919,American
659,\N,1/29/1929,American
660,\N,8/11/1916,Belgian
661,\N,10/7/1912,British
662,\N,6/16/1930,French
663,\N,3/21/1916,British
664,\N,9/21/1920,British
665,\N,8/14/1922,British
666,\N,10/16/1918,British
667,\N,8/4/1917,American
668,\N,4/25/1917,French
669,\N,7/15/1914,Thai
670,\N,12/19/1923,Argentine
671,\N,8/5/1907,French
672,\N,6/5/1923,Argentine
673,\N,10/2/1921,American
674,\N,10/23/1926,American
675,\N,10/20/1921,American
676,\N,10/12/1918,American
677,\N,10/8/1910,American
678,\N,7/25/1911,American
679,\N,2/19/1921,American
680,\N,10/30/1926,American
681,\N,9/14/1918,Belgian
682,\N,7/26/1928,British
683,\N,6/23/1916,British
684,\N,4/1/1909,British
685,\N,1/17/1924,British
686,\N,7/2/1911,British
687,\N,11/12/1914,British
688,\N,7/18/1920,British
689,\N,11/20/1919,British
690,\N,6/26/1929,British
691,\N,4/6/1909,German
692,\N,5/13/1913,German
693,\N,7/10/1918,American
694,\N,3/10/1925,Italian
695,\N,8/17/1913,Argentine
696,\N,7/22/1929,British
697,\N,6/9/1903,Italian
698,\N,6/28/1923,Argentine
699,\N,3/2/1913,American
700,\N,7/3/1914,American
701,\N,12/18/1907,American
702,\N,10/4/1928,American
703,\N,1898-11-01,Belgian
704,\N,10/8/1904,French
705,\N,2/16/1920,British
706,\N,3/6/1931,British
707,\N,7/15/1929,British
708,\N,4/30/1920,British
709,\N,5/23/1903,East German
710,\N,3/30/1907,East German
711,\N,3/6/1917,German
712,\N,2/13/1922,German
713,\N,2/10/1923,East German
714,\N,11/5/1921,German
715,\N,12/21/1921,German
716,\N,7/17/1912,German
717,\N,12/27/1900,German
718,\N,7/4/1907,German
719,\N,2/28/1908,Swiss
720,\N,10/6/1918,Swiss
721,\N,3/30/1910,Swiss
722,\N,3/6/1921,Italian
723,\N,4/19/1912,Swiss
724,\N,1/25/1906,German
725,\N,3/21/1913,British
726,\N,8/16/1906,American
727,\N,6/6/1923,American
728,\N,5/23/1925,American
729,\N,3/6/1909,American
730,\N,6/22/1917,American
731,\N,6/14/1913,American
732,\N,1/29/1915,American
733,\N,7/19/1902,American
734,\N,8/26/1925,American
735,\N,6/7/1927,Belgian
736,\N,2/21/1913,Belgian
737,\N,4/11/1908,American
738,\N,2/3/1920,Australian
739,\N,6/23/1915,British
740,\N,7/24/1906,Italian
741,\N,1896-12-28,French
742,\N,8/19/1916,British
743,\N,11/4/1919,British
744,\N,12/5/1917,British
745,\N,4/15/1922,British
746,\N,7/22/1916,Brazilian
747,\N,12/28/1909,British
748,\N,10/4/1906,Uruguayan
749,\N,3/29/1900,British
750,\N,1899-10-15,German
751,\N,7/11/1922,German
752,\N,11/29/1915,German
753,\N,10/28/1919,German
754,\N,1/1/1909,French
755,\N,4/27/1902,Swiss
756,\N,6/20/1911,German
757,\N,9/16/1914,German
758,\N,8/23/1919,Dutch
759,\N,10/2/1919,Dutch
760,\N,1899-10-13,Italian
761,\N,1/16/1920,Argentine
762,\N,6/5/1908,Italian
763,\N,3/28/1911,Italian
764,\N,8/10/1910,French
765,\N,1/25/1910,French
766,\N,9/7/1910,American
767,\N,3/4/1911,American
768,\N,5/26/1906,American
769,\N,12/15/1927,American
770,\N,9/30/1919,American
771,\N,12/30/1911,American
772,\N,9/14/1915,American
773,\N,12/22/1905,French
774,\N,4/12/1907,French
775,\N,5/20/1921,French
776,\N,3/13/1913,Irish
777,\N,9/22/1907,British
778,\N,1/28/1915,British
779,\N,5/10/1914,British
780,\N,9/15/1916,Swiss
781,\N,8/21/1911,British
782,\N,11/23/1903,Spanish
783,\N,7/25/1905,French
784,\N,12/29/1917,British
785,\N,5/11/1921,British
786,\N,1898-06-09,Italian
787,\N,7/6/1906,British
788,\N,10/26/1915,British
789,\N,3/24/1915,French
790,\N,3/22/1912,British
791,\N,1898-08-18,Italian
792,\N,10/21/1912,Argentine
793,\N,8/31/1906,French
794,\N,4/14/1912,American
795,\N,6/17/1912,American
796,\N,12/15/1913,American
797,\N,9/4/1920,American
798,\N,2/14/1914,American
799,\N,7/25/1910,American
800,\N,10/11/1911,Italian
801,\N,8/27/1909,French
802,\N,7/22/1909,Italian
803,\N,1/31/1908,American
804,\N,9/18/1918,American
805,\N,2/10/1917,American
806,\N,11/10/1923,Uruguayan
807,27,8/19/1987,German
808,\N,9/8/1984,Russian
810,\N,8/11/1984,Brazilian
811,\N,10/15/1983,Brazilian
812,\N,1/19/1984,Indian
813,13,3/9/1985,Venezuelan
814,\N,4/16/1986,British
815,11,1/26/1990,Mexican
816,\N,12/27/1985,Belgian
817,3,7/1/1989,Australian
818,25,4/25/1990,French
819,\N,2/15/1990,French
820,4,4/21/1991,British
821,21,8/5/1991,Mexican
822,77,8/28/1989,Finnish
823,\N,4/25/1985,Dutch
824,17,8/3/1989,French
825,20,10/5/1992,Danish
826,26,4/26/1994,Russian
827,45,11/19/1981,German
828,9,9/2/1990,Swedish
829,28,6/28/1991,British
830,33,9/30/1997,Dutch
831,12,8/21/1992,Brazilian
832,55,9/1/1994,Spanish
833,98,3/22/1991,Spanish
834,53,9/25/1991,American
835,30,1/20/1991,British
836,94,10/18/1994,German
837,88,1/22/1993,Indonesian
838,2,3/26/1992,Belgian
839,31,9/17/1996,French
840,18,10/29/1998,Canadian
841,99,12/14/1993,Italian
843,28,11/10/1989,New Zealander
844,16,10/16/1997,Monegasque
845,35,8/27/1995,Russian
846,4,11/13/1999,British
847,63,2/15/1998,British
848,23,3/23/1996,Thai
849,6,6/29/1995,Canadian
850,51,6/25/1996,Brazilian
851,89,9/23/1995,British
852,22,5/11/2000,Japanese
853,9,3/2/1999,Russian
854,47,3/22/1999,German
855,24,5/30/1999,Chinese
856,45,2/6/1995,Dutch
